siret,siren,commune,cp,numero,type_voie,libelle_voie,adresse_sirene,enseigne_sirene,denomination_sirene,code_naf,type_pv,nb_candidats_meme_voie,candidats_drives_meme_voie,drive_trouve,nb_drives_match,drives_types,drives_enseignes,drives_adresses,drives_sources,drives_urls,match_method
83888448400018,838884484,GRENOBLE,38000,66,Avenue,DES MARTYRS,"66 Avenue DES MARTYRS , 38000 GRENOBLE",CARREFOUR EXPRESS,SOCIETE TOURNIER DISTRIBUTION,4711D,super,0,,FALSE,0,,,,,,
81372232900030,813722329,GRENOBLE,38000,17,Avenue,ALBERT 1ER DE BELGIQUE,"17 Avenue ALBERT 1ER DE BELGIQUE , 38000 GRENOBLE",CITY,REDH' DISTRIB,4711D,super,0,,FALSE,0,,,,,,
33489707100034,334897071,GRENOBLE,38000,13,Boulevard,MARECHAL FOCH,"13 Boulevard MARECHAL FOCH , 38000 GRENOBLE",INTERMARCHE,SOVALGRE,4711D,super,0,,FALSE,0,,,,,,
98779465800037,987794658,GRENOBLE,38000,26,Cours,BERRIAT,"26 Cours BERRIAT , 38000 GRENOBLE",INTERMARCHE,CALAO 36,4711D,super,1,"28 Cours Berriat, 38000 Grenoble",FALSE,0,,,,,,
34326262218893,343262622,GRENOBLE,38100,97,Rue,DES ALLIES,"97 Rue DES ALLIES , 38100 GRENOBLE",LIDL,LIDL,4711D,super,0,,FALSE,0,,,,,,
55208329701786,552083297,GRENOBLE,38000,3,Rue,CHARLES LORY,"3 Rue CHARLES LORY , 38000 GRENOBLE",MONOPRIX,"MONOPRIX EXPLOITATION, PAR ABREVIATION MPX",4711D,super,0,,FALSE,0,,,,,,
50751360400029,507513604,GRENOBLE,38000,8,Rue,HOCHE,"8 Rue HOCHE , 38000 GRENOBLE",UTILE,HOCHEDIS,4711D,super,0,,FALSE,0,,,,,,
88340923700012,883409237,GRENOBLE,38000,8,Rue,HOCHE,"8 Rue HOCHE , 38000 GRENOBLE",UTILE,UTILE,4711D,super,0,,FALSE,0,,,,,,
44861416400011,448614164,GRENOBLE,38000,1,Rue,DES CLERCS,"1 Rue DES CLERCS , 38000 GRENOBLE",,,4711D,super,0,,FALSE,0,,,,,,
43499721900028,434997219,GRENOBLE,38000,13,Avenue,ALBERT 1ER DE BELGIQUE,"13 Avenue ALBERT 1ER DE BELGIQUE , 38000 GRENOBLE",,GWENLIB,4711D,super,0,,FALSE,0,,,,,,
98261290500017,982612905,GRENOBLE,38000,18,Rue,DE STRASBOURG,"18 Rue DE STRASBOURG , 38000 GRENOBLE",,CLOVALORO,4711D,super,0,,FALSE,0,,,,,,
42826802302370,428268023,GRENOBLE,38000,26,Cours,BERRIAT,"26 Cours BERRIAT , 38000 GRENOBLE",,DISTRIBUTION CASINO FRANCE,4711D,super,1,"28 Cours Berriat, 38000 Grenoble",FALSE,0,,,,,,
83749801300023,837498013,LA TRONCHE,38700,28,,GRANDE RUE,"28 NA GRANDE RUE , 38700 LA TRONCHE",CARREFOUR EXPRESS,BIGEL DISTRIBUTION,4711D,super,0,,FALSE,0,,,,,,
