type,siret
present_2025_not_old,75255951800010
present_2025_not_old,75078464700026
present_2025_not_old,25860036000014
present_2025_not_old,41108407200023
present_2025_not_old,52397519100017
present_2025_not_old,30118841300019
present_2025_not_old,82028161600020
present_2025_not_old,30584747700034
present_2025_not_old,98872367200016
present_2025_not_old,35354880300017
present_2025_not_old,75257739500011
present_2025_not_old,75078464700042
present_2025_not_old,25880021800012
present_2025_not_old,53751341800021
present_2025_not_old,90484623500037
present_2025_not_old,30120072100027
present_2025_not_old,42245978400043
present_2025_not_old,30585189100039
present_2025_not_old,83097043000013
present_2025_not_old,35356707600016
present_2025_not_old,75258242900011
present_2025_not_old,75079460400017
present_2025_not_old,25890132100020
present_2025_not_old,42938947100021
present_2025_not_old,40814331100012
present_2025_not_old,30121792300020
present_2025_not_old,91097622400014
present_2025_not_old,30585408500043
present_2025_not_old,82460121500018
present_2025_not_old,35356708400010
present_2025_not_old,75258755000019
present_2025_not_old,75080808100012
present_2025_not_old,26010248800012
present_2025_not_old,80305021000019
present_2025_not_old,40966314300017
present_2025_not_old,30124850600034
present_2025_not_old,39057046300013
present_2025_not_old,30585719500047
present_2025_not_old,53296375800018
present_2025_not_old,35356988200023
present_2025_not_old,75259206300032
present_2025_not_old,75080853700013
present_2025_not_old,26010271000019
present_2025_not_old,51235149500035
present_2025_not_old,91992836600013
present_2025_not_old,30126523700018
present_2025_not_old,80022635900035
present_2025_not_old,30585983700018
present_2025_not_old,94503459300018
present_2025_not_old,35357426200013
present_2025_not_old,75259789800010
present_2025_not_old,75080938600014
present_2025_not_old,26020279100018
present_2025_not_old,50931555200018
present_2025_not_old,43827703000658
present_2025_not_old,30129134000018
present_2025_not_old,83173566700014
present_2025_not_old,30586075100042
present_2025_not_old,94052706200019
present_2025_not_old,35357591300051
present_2025_not_old,75261160800015
present_2025_not_old,75082133200020
present_2025_not_old,26050187900019
present_2025_not_old,42374569400053
present_2025_not_old,43827703000377
present_2025_not_old,30130426700018
present_2025_not_old,50135225600017
present_2025_not_old,30587389500018
present_2025_not_old,89115872700026
present_2025_not_old,35357591300069
present_2025_not_old,75261227500012
present_2025_not_old,75082880800014
present_2025_not_old,26050294300012
present_2025_not_old,91968498500014
present_2025_not_old,43827703000187
present_2025_not_old,30130487900044
present_2025_not_old,44041956200010
present_2025_not_old,30588631900022
present_2025_not_old,90227968600015
present_2025_not_old,35357763800011
present_2025_not_old,75261494100017
present_2025_not_old,75084257700017
present_2025_not_old,26080084200023
present_2025_not_old,53802250000010
present_2025_not_old,43827703001003
present_2025_not_old,30130506600013
present_2025_not_old,45057531100011
present_2025_not_old,30589380200010
present_2025_not_old,82350542500012
present_2025_not_old,35357941000039
present_2025_not_old,75262967500014
present_2025_not_old,75085425900025
present_2025_not_old,26080089100012
present_2025_not_old,50449268700018
present_2025_not_old,43827703001359
present_2025_not_old,30130661900018
present_2025_not_old,34781019400030
present_2025_not_old,30590342900044
present_2025_not_old,85172057300019
present_2025_not_old,35358211700027
present_2025_not_old,75263636500013
present_2025_not_old,75085917500028
present_2025_not_old,26080172500011
present_2025_not_old,21290025200033
present_2025_not_old,43827703000203
present_2025_not_old,30131260900029
present_2025_not_old,99018936700016
present_2025_not_old,30593691600017
present_2025_not_old,90487752900019
present_2025_not_old,35358772800018
present_2025_not_old,75263803100019
present_2025_not_old,75086249200014
present_2025_not_old,26100222400010
present_2025_not_old,99061126100019
present_2025_not_old,43827703000716
present_2025_not_old,30132935500012
present_2025_not_old,79498999600010
present_2025_not_old,30595030500014
present_2025_not_old,34008858200010
present_2025_not_old,35358943500018
present_2025_not_old,75265500100010
present_2025_not_old,75086293000013
present_2025_not_old,26100426100010
present_2025_not_old,34858166100025
present_2025_not_old,43827703001342
present_2025_not_old,30133220100039
present_2025_not_old,95186203600013
present_2025_not_old,30595318400010
present_2025_not_old,41335445700017
present_2025_not_old,35359878200012
present_2025_not_old,75266534900037
present_2025_not_old,75087102200018
present_2025_not_old,26120303800011
present_2025_not_old,42488265200029
present_2025_not_old,43827703001052
present_2025_not_old,30133238300076
present_2025_not_old,43531232700040
present_2025_not_old,30595367100024
present_2025_not_old,91464076800018
present_2025_not_old,35361086800013
present_2025_not_old,75267579300018
present_2025_not_old,75093065300019
present_2025_not_old,26140459400010
present_2025_not_old,53506077600015
present_2025_not_old,43827703000575
present_2025_not_old,30133300100024
present_2025_not_old,80781484300015
present_2025_not_old,30595391100024
present_2025_not_old,30330774800010
present_2025_not_old,35361763200032
present_2025_not_old,75267827600011
present_2025_not_old,75093499400021
present_2025_not_old,26140633400019
present_2025_not_old,92272401800010
present_2025_not_old,43827703001383
present_2025_not_old,30133643400016
present_2025_not_old,99361459300016
present_2025_not_old,30595526200012
present_2025_not_old,89405073100013
present_2025_not_old,35361949700012
present_2025_not_old,75270630900016
present_2025_not_old,75094633700011
present_2025_not_old,26140759700010
present_2025_not_old,93432328800019
present_2025_not_old,43827703000096
present_2025_not_old,30133890100087
present_2025_not_old,97922853300019
present_2025_not_old,30595910800013
present_2025_not_old,53163375800028
present_2025_not_old,35362279800018
present_2025_not_old,75272587900015
present_2025_not_old,75095078400025
present_2025_not_old,26150259500018
present_2025_not_old,51780276500027
present_2025_not_old,43827703000401
present_2025_not_old,30133890100079
present_2025_not_old,53176496700026
present_2025_not_old,30596077500057
present_2025_not_old,85212436100019
present_2025_not_old,35362310100014
present_2025_not_old,75272785900015
present_2025_not_old,75095550200018
present_2025_not_old,26160262700018
present_2025_not_old,82185563200013
present_2025_not_old,89885038300016
present_2025_not_old,30134254900013
present_2025_not_old,32892773600020
present_2025_not_old,30596241700013
present_2025_not_old,80199820400011
present_2025_not_old,35362736700017
present_2025_not_old,75273610800032
present_2025_not_old,75096172400010
present_2025_not_old,26160358300012
present_2025_not_old,94106903100016
present_2025_not_old,44946277900017
present_2025_not_old,30136939300014
present_2025_not_old,99185148600019
present_2025_not_old,30596873700018
present_2025_not_old,82513261600012
present_2025_not_old,35363154200043
